state,ffrest_percapita
Alabama,6.3
Alaska,3.1
Arizona,4.6
Arkansas,4.7
California,3.6
Colorado,4
Connecticut,2.5
Delaware,4.1
Florida,3.3
Georgia,4.9
Hawaii,3.2
Idaho,3.8
Illinois,4.5
Indiana,5
Iowa,4.7
Kansas,4.7
Kentucky,4.8
Louisiana,4.4
Maine,3.1
Maryland,3.9
Massachusetts,3.1
Michigan,4
Minnesota,3.7
Mississippi,2.4
Missouri,4.9
Montana,3.8
Nebraska,5.4
Nevada,4.7
New Jersey,2.1
New York,2.1
New Hampshire,3.2
New Mexico,4.3
North Dakota,3.6
North Carolina,4.5
Ohio,4.7
Oklahoma,5.3
Oregon,3.6
Pennsylvania,3.2
Rhode Island,2.6
South Carolina,4.9
South Dakota,4.3
Tennessee,5.2
Texas,4.3
Utah,3.6
Vermont,1.9
Virginia,4.3
Washington,3.2
West Virginia,5.3
Wisconsin,4
Wyoming,4.1